KEGG_ID,Information
5443  ,POMC; proopiomelanocortin [KO:K05228]
23236  ,PLCB1; phospholipase C beta 1 [KO:K05858] [EC:3.1.4.11]
5330  ,PLCB2; phospholipase C beta 2 [KO:K05858] [EC:3.1.4.11]
5331  ,PLCB3; phospholipase C beta 3 [KO:K05858] [EC:3.1.4.11]
5332  ,PLCB4; phospholipase C beta 4 [KO:K05858] [EC:3.1.4.11]
810  ,CALML3; calmodulin like 3 [KO:K02183]
805  ,CALM2; calmodulin 2 [KO:K02183]
808  ,CALM3; calmodulin 3 [KO:K02183]
801  ,CALM1; calmodulin 1 [KO:K02183]
163688  ,CALML6; calmodulin like 6 [KO:K02183]
51806  ,CALML5; calmodulin like 5 [KO:K02183]
91860  ,CALML4; calmodulin like 4 [KO:K02183]
815  ,CAMK2A; calcium/calmodulin dependent protein kinase II alpha [KO:K04515] [EC:2.7.11.17]
817  ,CAMK2D; calcium/calmodulin dependent protein kinase II delta [KO:K04515] [EC:2.7.11.17]
816  ,CAMK2B; calcium/calmodulin dependent protein kinase II beta [KO:K04515] [EC:2.7.11.17]
818  ,CAMK2G; calcium/calmodulin dependent protein kinase II gamma [KO:K04515] [EC:2.7.11.17]
5578  ,PRKCA; protein kinase C alpha [KO:K02677] [EC:2.7.11.13]
5579  ,PRKCB; protein kinase C beta [KO:K19662] [EC:2.7.11.13]
5582  ,PRKCG; protein kinase C gamma [KO:K19663] [EC:2.7.11.13]
